Product Name,SKU,Date & Time,Status
YSG Shrimp Instant Cup Noodle 72g - Perfect Solution for Delicious and Convenient Food on the Run,1729620999710083063,03-02-2025 04:22:45,success
YSG Chocolate Brownie Mini Bite,1729621035054434295,03-02-2025 04:22:48,success
YSG Yava Roasted Cashew Nuts and Coconut Flakes Snack,1729621035699898359,03-02-2025 04:22:51,success
Minute Maid Qoo White Grape,1729643004838709239,03-02-2025 04:22:54,success
"100 Plus Zero Sugar Sports & Energy Drink, Isotonic Formula, 24 Cans",1729643094415869943,03-02-2025 04:22:57,success
Coke Can drinks (24 cans),1729643167146805239,03-02-2025 04:23:02,success
