Product Name,SKU,Date & Time,Status
YSG Shrimp Instant Cup Noodle 72g - Perfect Solution for Delicious and Convenient Food on the Run,1729620999710083063,03-02-2025 03:33:16,success
YSG Chocolate Brownie Mini Bite,1729621035054434295,03-02-2025 03:33:18,success
YSG Yava Roasted Cashew Nuts and Coconut Flakes Snack,1729621035699898359,03-02-2025 03:33:21,success
Minute Maid Qoo White Grape,1729643004838709239,03-02-2025 03:33:24,success
"100 Plus Zero Sugar Sports & Energy Drink, Isotonic Formula, 24 Cans",1729643094415869943,03-02-2025 03:33:27,success
Coke Can drinks (24 cans),1729643167146805239,03-02-2025 03:33:31,success
